parcela,estacion,lat,lon,year,mode
ANE-1,ANE,10.8096667,-74.6078889,2019,3.0
ANE-2,ANE,10.8099167,-74.6080278,2019,3.0
ANE-3,ANE,10.8102778,-74.6082222,2019,3.0
CGE-1,CGE,10.8635556,-74.4815556,2019,3.0
CGE-2,CGE,10.8615556,-74.4813889,2019,3.0
CGE-3,CGE,10.8625,-74.4813889,2019,3.0
KM22-1,KM22,10.9774167,-74.57675,2019,3.0
KM22-2,KM22,10.9778056,-74.5776389,2019,3.0
KM22-3,KM22,10.9780833,-74.5784722,2019,3.0
LUN-1,LUN,10.9074722,-74.5882222,2019,3.0
LUN-2,LUN,10.9074722,-74.5882222,2019,3.0
LUN-3,LUN,10.9074722,-74.5882222,2019,3.0
RIN-1,RIN,10.9631944,-74.4918611,2019,1.0
RIN-2,RIN,10.9621389,-74.4937222,2019,3.0
RIN-3,RIN,10.9618333,-74.4936667,2019,3.0
