parcela,estacion,di,within_aoa
ANE-1,ANE,0.16415313262957265,0
ANE-2,ANE,0.2154468271197885,0
ANE-3,ANE,0.24586433086009843,0
CGE-1,CGE,0.1211830116793077,1
CGE-2,CGE,0.03848510023440539,1
CGE-3,CGE,0.038029899155003835,1
KM22-1,KM22,0.07053703617897401,1
KM22-2,KM22,0.07712153590559401,1
KM22-3,KM22,0.09178742385243716,1
LUN-1,LUN,0.029427508616900022,1
LUN-2,LUN,0.029427508616900022,1
LUN-3,LUN,0.029427508616900022,1
RIN-1,RIN,0.8690428711448241,0
RIN-2,RIN,0.0575278926743167,1
RIN-3,RIN,0.026454760157944734,1
